Feature set,Accuracy,Precision,Recall,F1-score,ROC-AUC
Without Electric Range,0.9958160545023697,0.9999032320495452,0.9946575540260866,0.9972734949933647,0.9998754301346778
With Electric Range,0.9997778436018957,0.9998074979546657,0.9999037397121817,0.9998556165174703,0.999999127153545
Difference: With - Without,0.003961789099526047,-9.573409487950713e-05,0.0052461856860951395,0.0025821215241056406,0.00012369701886716378
