Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
XGBoost,0.9998889218009479,0.9998556304138595,1.0,0.9999278099959092,1.0
Gradient Boosting,0.9998889218009479,0.9998556304138595,1.0,0.9999278099959092,0.9999993859177595
Decision Tree,0.9998518957345972,0.9998075164814013,1.0,0.9999037489773329,0.9996788388503525
Random Forest,0.9997778436018957,0.9998074979546657,0.9999037397121817,0.9998556165174703,0.999999127153545
Logistic Regression,0.9964454976303317,0.9999516511144418,0.9954276363286326,0.997684515195369,0.9999261788179522
