Feature set,Number of predictors,Accuracy,Precision,Recall,F1-score,ROC-AUC
Vehicle features only,6,0.9998518957345972,0.9998075164814013,1.0,0.9999037489773329,0.9999998764111213
Geographic features only,6,0.5989336492890995,0.8125196405002828,0.6222265004572364,0.7047535979066725,0.6074769363648667
Combined vehicle + geographic,12,0.9997778436018957,0.9998074979546657,0.9999037397121817,0.9998556165174703,0.999999127153545
