Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Without Make,0.9998518957345972,0.9998075164814013,1.0,0.9999037489773329,0.9999977445029656
With Make,0.9997778436018957,0.9998074979546657,0.9999037397121817,0.9998556165174703,0.9999990808077153
